NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250101;0.0;1;3.9;1;740;9;11.0;1;1256;9;8.0;1;7.5;1;7.1;1;0.6;9;;;0;9;0.8;1;;;3.3;1;40;1;301;9;6.3;1;20;1;252;9;;;;;;;5.6;1;20;1;252;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250102;3.0;1;7.2;1;2254;9;13.7;1;1433;9;9.1;1;10.5;1;6.5;1;5.5;9;;;0;9;1.2;1;;;2.8;1;60;1;106;9;6.2;1;60;1;125;9;;;;;;;5.3;1;60;1;124;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250103;0.0;1;3.4;1;1750;9;10.2;1;1319;9;5.2;1;6.8;1;6.8;1;1.2;1;;;130;9;1.4;1;;;5.0;1;300;1;1217;9;10.6;1;300;1;1349;9;;;;;;;9.7;1;300;1;1349;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250104;0.2;1;-2.8;1;600;9;10.7;1;1317;9;4.9;1;4.0;1;13.5;1;;;;;481;9;0.6;1;;;1.9;1;120;1;1008;9;3.4;1;90;1;1005;9;;;;;;;3.2;1;100;1;953;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250105;0.0;1;7.6;1;2021;9;15.5;1;1238;9;11.7;1;11.6;1;7.9;1;7.0;9;;;0;9;2.6;1;;;5.3;1;130;1;1917;9;11.6;1;180;1;1355;9;;;;;;;10.2;1;170;1;1916;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250106;1.8;1;12.3;1;2301;9;15.3;1;1112;9;13.1;1;13.8;1;3.0;1;11.3;9;;;0;9;2.9;1;;;5.0;1;140;1;335;9;13.8;1;200;1;620;9;;;;;;;11.7;1;130;1;320;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250107;0.0;1;4.2;1;648;9;12.6;1;1337;9;8.0;1;8.4;1;8.4;1;0.8;9;;;0;9;1.6;1;;;4.2;1;300;1;1112;9;9.4;1;300;1;1137;9;;;;;;;8.5;1;300;1;1405;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250108;0.2;1;3.6;1;636;9;19.2;1;1225;9;11.2;1;11.4;1;15.6;1;0.9;9;;;0;9;1.4;1;;;4.2;1;160;1;1616;9;8.7;1;180;1;1608;9;;;;;;;7.6;1;180;1;1608;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250109;0.0;1;7.9;1;318;9;15.3;1;1439;9;10.9;1;11.6;1;7.4;1;4.6;9;;;0;9;1.6;1;;;4.3;1;270;9;2240;9;9.3;1;240;9;2317;9;;;;;;;8.2;1;240;1;2317;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250110;0.0;1;4.1;1;656;9;13.1;1;1036;9;8.2;1;8.6;1;9.0;1;3.0;9;;;0;9;1.9;1;;;5.2;1;310;1;558;9;9.6;1;320;1;603;9;;;;;;;8.7;1;290;1;543;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250111;0.0;1;5.4;1;1758;9;13.8;1;1253;9;6.4;1;9.6;1;8.4;1;3.3;9;;;17;9;1.6;1;;;8.4;1;310;1;1434;9;17.2;1;310;1;1425;9;;;;;;;15.6;1;310;1;1425;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250112;0.0;1;-3.8;1;701;9;9.1;1;1356;9;1.4;1;2.7;1;12.9;1;-6.7;9;;;814;9;1.0;1;;;3.1;1;300;1;1331;9;6.3;1;310;1;1303;9;;;;;;;5.9;1;310;1;1303;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250113;0.2;1;-4.3;1;630;9;11.1;1;1236;9;1.5;1;3.4;1;15.4;1;;;;;806;9;0.9;1;;;2.9;1;270;1;1326;9;5.5;1;270;1;1351;9;;;;;;;5.0;1;270;1;1351;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250114;0.0;1;-3.8;1;513;9;11.1;1;1030;9;2.3;1;3.7;1;14.9;1;-6.6;9;;;734;9;0.6;1;;;2.0;1;70;1;59;9;5.2;1;110;1;50;9;;;;;;;4.8;1;110;1;50;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250115;0.0;1;-4.6;1;600;9;11.5;1;1340;9;1.6;1;3.5;1;16.1;1;-8.0;1;;;755;9;0.7;1;;;2.9;1;250;1;1458;9;4.7;1;270;1;1245;9;;;;;;;4.4;1;260;1;1455;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250116;0.2;1;-2.9;1;217;9;13.2;1;1212;9;5.0;1;5.2;1;16.1;1;-6.2;9;;;340;9;0.9;1;;;2.1;1;40;9;2307;9;5.8;1;30;9;2134;9;;;;;;;5.1;1;30;1;2134;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250117;0.0;1;-2.7;1;639;9;13.1;1;1316;9;3.7;1;5.2;1;15.8;1;-5.9;9;;;549;9;0.9;1;;;3.6;1;280;1;1325;9;6.2;1;280;1;1321;9;;;;;;;5.8;1;280;1;1321;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250118;0.0;1;-2.8;1;719;9;14.7;1;1218;9;5.2;1;6.0;1;17.5;1;-6.2;9;;;540;9;0.5;1;;;2.4;1;100;1;949;9;4.7;1;110;1;947;9;;;;;;;4.1;1;110;1;949;9;;
13001009;AIX EN PROVENCE;43.529500;5.424500;173;20250119;0.0;1;5.3;1;725;9;14.7;1;1248;9;9.0;1;10.0;1;9.4;1;3.5;9;;;0;9;0.7;1;;;3.6;1;30;1;415;9;7.3;1;30;1;408;9;;;;;;;6.8;1;30;1;408;9;;
